village_name,district,taluk,latitude,longitude,sowing_date,loss_window_start,loss_window_end,season,year,pre_loss_ndvi,post_loss_ndvi,ndvi_change,pre_loss_ndwi,post_loss_ndwi,s2_cloud_pct_pre,s2_cloud_pct_post,s1_vv_db_pre,s1_vh_db_pre,s1_vv_db_post,s1_vh_db_post,s1_fallback_used,actual_rainfall_mm,normal_rainfall_mm,rainfall_deficit_pct,drought_rainfall_flag,ksdma_officially_declared_drought,ksdma_drought_severity,ndvi_supports_loss,rainfall_supports_drought,ksdma_supports_loss,yield_supports_loss,multimodal_verdict
Devihosur (Haveri),Haveri,Devihosur,14.7833,75.3833,2024-06-20,2024-08-15,2024-09-10,Kharif,2024,0.2477,0.3734,0.1257,-0.2316,-0.3224,99.22,97.84,-10.2,-17.37,-8.19,-14.48,0,631.7,404.01,-56.36,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Savanur (Haveri),Haveri,Savanur,14.975,75.335,2024-06-18,2024-08-10,2024-09-05,Kharif,2024,0.027,-0.0245,-0.0515,-0.0362,0.0509,100.0,100.0,-6.6,-14.39,-6.3,-13.94,0,586.4,446.34,-31.38,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Gokak (Belagavi),Belagavi,Gokak,16.1667,74.8333,2024-06-25,2024-08-20,2024-09-15,Kharif,2024,0.0323,0.3644,0.3321,-0.0239,-0.3839,100.0,40.98,-7.39,-15.4,-6.36,-14.2,0,483.6,411.66,-17.48,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Ramdurg (Belagavi),Belagavi,Ramdurg,15.95,75.2833,2024-06-22,2024-08-12,2024-09-08,Kharif,2024,-0.0368,0.4713,0.5081,0.057,-0.4101,100.0,100.0,-9.9,-16.84,-9.04,-15.33,0,488.8,320.73,-52.4,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Athani (Belagavi),Belagavi,Athani,16.7267,75.0633,2024-07-05,2024-09-01,2024-09-25,Kharif,2024,0.0413,0.1969,0.1556,-0.0387,-0.1822,100.0,74.08,-4.88,-13.97,-3.69,-13.06,0,607.0,351.45,-72.71,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Annigeri (Dharwad),Dharwad,Annigeri,15.4333,75.4333,2024-07-01,2024-08-25,2024-09-20,Kharif,2024,0.0803,0.0389,-0.0414,-0.0549,-0.0311,100.0,100.0,-8.07,-16.17,-6.81,-14.54,0,494.7,353.39,-39.99,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Kundgol (Dharwad),Dharwad,Kundgol,15.2567,75.25,2024-06-28,2024-08-20,2024-09-15,Kharif,2024,0.0171,0.0549,0.0378,-0.0136,-0.0344,100.0,100.0,-7.31,-15.47,-7.2,-14.56,0,580.1,427.61,-35.66,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Navalgund (Dharwad),Dharwad,Navalgund,15.5667,75.35,2024-07-03,2024-08-28,2024-09-22,Kharif,2024,0.0489,0.1556,0.1067,-0.0424,-0.1468,100.0,100.0,-10.45,-18.72,-8.0,-14.88,0,481.7,357.18,-34.86,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Aland (Kalaburagi),Kalaburagi,Aland,17.5667,76.5667,2024-06-15,2024-08-10,2024-09-05,Kharif,2024,0.0287,0.0063,-0.0224,-0.0216,0.0343,100.0,100.0,-5.07,-13.62,-4.91,-13.68,0,822.3,430.72,-90.91,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Chincholi (Kalaburagi),Kalaburagi,Chincholi,17.4667,77.4167,2024-06-12,2024-08-05,2024-09-01,Kharif,2024,0.1383,-0.0068,-0.1451,-0.1383,-0.0006,100.0,100.0,-7.93,-15.91,-7.11,-14.9,0,847.4,521.67,-62.44,0,1,Severe,TRUE,FALSE,TRUE,NO_DATA,PARTIAL
Sedam (Kalaburagi),Kalaburagi,Sedam,17.1833,76.9333,2024-06-18,2024-08-08,2024-09-03,Kharif,2024,0.0681,-0.0053,-0.0734,-0.0584,-0.0074,100.0,100.0,-11.21,-20.65,-10.18,-18.68,0,753.1,413.91,-81.95,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Afzalpur (Kalaburagi),Kalaburagi,Afzalpur,17.2,76.3667,2024-06-20,2024-08-15,2024-09-10,Kharif,2024,0.0584,0.4199,0.3615,-0.0511,-0.3646,100.0,95.0,-8.44,-15.9,-7.51,-14.3,0,741.6,412.47,-79.79,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Sindhanur (Raichur),Raichur,Sindhanur,15.7667,76.7667,2024-07-10,2024-09-01,2024-09-30,Kharif,2024,0.1669,0.4324,0.2655,-0.1527,-0.425,100.0,0.0,-8.51,-17.5,-8.19,-15.54,0,445.7,318.97,-39.73,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Manvi (Raichur),Raichur,Manvi,15.9833,76.5333,2024-07-08,2024-08-28,2024-09-25,Kharif,2024,0.3033,0.1217,-0.1816,-0.3396,-0.0973,69.95,100.0,-9.56,-17.3,-9.52,-16.67,0,396.5,291.2,-36.16,0,1,Severe,TRUE,FALSE,TRUE,NO_DATA,PARTIAL
Devadurga (Raichur),Raichur,Devadurga,15.75,76.4833,2024-07-05,2024-08-25,2024-09-20,Kharif,2024,0.0353,-0.092,-0.1273,-0.0408,0.1498,100.0,100.0,-9.81,-18.93,-7.74,-16.01,0,311.0,270.19,-15.1,0,1,Severe,TRUE,FALSE,TRUE,NO_DATA,PARTIAL
Lingsugur (Raichur),Raichur,Lingsugur,16.1567,76.5233,2024-07-12,2024-09-05,2024-10-01,Kharif,2024,0.0125,0.3365,0.324,-0.0122,-0.3452,100.0,0.0,-7.39,-15.45,-8.19,-15.54,0,436.9,333.73,-30.91,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Gangavathi (Koppal),Koppal,Gangavathi,15.4317,76.5317,2024-07-01,2024-08-25,2024-09-18,Kharif,2024,0.1691,0.2561,0.087,-0.1667,-0.2343,100.0,65.1201,-7.41,-16.21,-7.4,-15.05,0,310.8,265.66,-16.99,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Kushtagi (Koppal),Koppal,Kushtagi,15.7567,76.1917,2024-07-06,2024-08-30,2024-09-25,Kharif,2024,0.1091,0.2561,0.147,-0.1042,-0.2343,100.0,65.1201,-7.04,-16.13,-7.4,-15.05,0,435.3,308.95,-40.9,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Yelburga (Koppal),Koppal,Yelburga,15.6,76.0167,2024-07-04,2024-08-27,2024-09-22,Kharif,2024,0.0638,0.2561,0.1923,-0.0581,-0.2343,100.0,65.1201,-8.79,-17.69,-7.4,-15.05,0,457.9,310.71,-47.37,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Koppal Town (Koppal),Koppal,Koppal Town,15.35,76.15,2024-07-02,2024-08-22,2024-09-15,Kharif,2024,0.0916,0.2561,0.1645,-0.0932,-0.2343,100.0,65.1201,-6.39,-14.81,-7.4,-15.05,0,397.6,248.5,-60.0,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Indi (Vijayapura),Vijayapura,Indi,17.175,75.9533,2024-06-25,2024-08-18,2024-09-12,Kharif,2024,0.0218,0.2981,0.2763,-0.0003,-0.2893,100.0,99.71,-6.41,-13.95,-7.6,-14.22,0,694.5,369.77,-87.82,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Muddebihal (Vijayapura),Vijayapura,Muddebihal,16.3333,76.1333,2024-06-28,2024-08-20,2024-09-15,Kharif,2024,0.1117,0.3319,0.2202,-0.1174,-0.3461,100.0,43.36,-6.41,-13.95,-7.6,-14.22,0,522.0,310.71,-68.0,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Basavana Bagewadi (Vijayapura),Vijayapura,Basavana Bagewadi,16.5667,75.9667,2024-06-30,2024-08-22,2024-09-18,Kharif,2024,0.1708,0.315,0.1442,-0.154,-0.3177,100.0,71.535,-6.41,-13.95,-7.6,-14.22,0,608.25,331.66,-83.4,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Sindgi (Vijayapura),Vijayapura,Sindgi,16.9167,76.2333,2024-06-22,2024-08-14,2024-09-08,Kharif,2024,0.0813,0.315,0.2337,-0.064,-0.3177,100.0,71.535,-6.41,-13.95,-7.6,-14.22,0,608.25,314.49,-93.41,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Ron (Gadag),Gadag,Ron,15.6833,75.7333,2024-06-28,2024-08-22,2024-09-16,Kharif,2024,0.1358,0.1925,0.0567,-0.1066,-0.1644,100.0,100.0,-8.73,-16.96,-7.4,-15.05,0,477.4,328.26,-45.43,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Mundargi (Gadag),Gadag,Mundargi,15.2083,75.8833,2024-07-02,2024-08-26,2024-09-20,Kharif,2024,0.0919,0.1925,0.1006,-0.0993,-0.1644,100.0,100.0,-8.3,-14.72,-7.4,-15.05,0,372.0,278.52,-33.56,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Nargund (Gadag),Gadag,Nargund,15.7167,75.3833,2024-06-25,2024-08-18,2024-09-12,Kharif,2024,0.0145,0.1925,0.178,0.0075,-0.1644,100.0,100.0,-7.44,-15.32,-7.4,-15.05,0,470.6,328.04,-43.46,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Shirhatti (Gadag),Gadag,Shirhatti,15.2333,75.5667,2024-07-01,2024-08-24,2024-09-18,Kharif,2024,0.0719,0.1925,0.1206,-0.0739,-0.1644,100.0,100.0,-8.94,-17.0,-7.4,-15.05,0,506.8,360.41,-40.62,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Ranebennur (Haveri),Haveri,Ranebennur,14.62,75.63,2024-06-22,2024-08-16,2024-09-10,Kharif,2024,-0.0001,0.2048,0.2049,0.0282,-0.2163,100.0,83.92,-8.4,-15.88,-7.24,-14.21,0,596.2,416.93,-43.0,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Byadgi (Haveri),Haveri,Byadgi,14.6733,75.4867,2024-06-24,2024-08-18,2024-09-12,Kharif,2024,0.2142,0.1457,-0.0685,-0.2103,-0.1194,100.0,100.0,-8.4,-15.88,-7.24,-14.21,0,672.3,390.26,-72.27,0,1,Severe,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Hangal (Haveri),Haveri,Hangal,14.7633,75.1233,2024-06-20,2024-08-14,2024-09-08,Kharif,2024,0.1554,0.0028,-0.1526,-0.1481,0.0272,100.0,100.0,-8.4,-15.88,-7.24,-14.21,0,794.2,684.53,-16.02,0,1,Moderate,TRUE,FALSE,TRUE,NO_DATA,PARTIAL
